"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8"
1;"Solteiro";"Ensino Fundamental";NA;4;26;3;"Interior"
2;"Casado";"Ensino Fundamental";1;4,56;32;10;"Capital"
3;"Casado";"Ensino Fundamental";2;5,25;36;5;"Capital"
4;"Solteiro";"Ensino Médio";NA;5,73;20;10;"Outra"
5;"Solteiro";"Ensino Fundamental";NA;6,26;40;7;"Outra"
6;"Casado";"Ensino Fundamental";0;6,66;28;0;"Interior"
7;"Solteiro";"Ensino Fundamental";NA;6,86;41;0;"Interior"
8;"Solteiro";"Ensino Fundamental";NA;7,39;43;4;"Capital"
9;"Casado";"Ensino Médio";1;7,59;34;10;"Capital"
10;"Solteiro";"Ensino Médio";NA;7,44;23;6;"Outra"
11;"Casado";"Ensino Médio";2;8,12;33;6;"Interior"
12;"Solteiro";"Ensino Fundamental";NA;8,46;27;11;"Capital"
13;"Solteiro";"Ensino Médio";NA;8,74;37;5;"Outra"
14;"Casado";"Ensino Fundamental";3;8,95;44;2;"Outra"
15;"Casado";"Ensino Médio";0;9,13;30;5;"Interior"
16;"Solteiro";"Ensino Médio";NA;9,35;38;8;"Outra"
17;"Casado";"Ensino Médio";1;9,77;31;7;"Capital"
18;"Casado";"Ensino Fundamental";2;9,8;39;7;"Outra"
19;"Solteiro";"Superior";NA;10,53;25;8;"Interior"
20;"Solteiro";"Ensino Médio";NA;10,76;37;4;"Interior"
21;"Casado";"Ensino Médio";1;11,06;30;9;"Outra"
22;"Solteiro";"Ensino Médio";NA;11,59;34;2;"Capital"
23;"Solteiro";"Ensino Fundamental";NA;12;41;0;"Outra"
24;"Casado";"Superior";0;12,79;26;1;"Outra"
25;"Casado";"Ensino Médio";2;13,23;32;5;"Interior"
26;"Casado";"Ensino Médio";2;13,6;35;0;"Outra"
27;"Solteiro";"Ensino Fundamental";NA;13,85;46;7;"Outra"
28;"Casado";"Ensino Médio";0;14,69;29;8;"Interior"
29;"Casado";"Ensino Médio";5;14,71;40;6;"Interior"
30;"Casado";"Ensino Médio";2;15,99;35;10;"Capital"
31;"Solteiro";"Superior";NA;16,22;31;5;"Outra"
32;"Casado";"Ensino Médio";1;16,61;36;4;"Interior"
33;"Casado";"Superior";3;17,26;43;7;"Capital"
34;"Solteiro";"Superior";NA;18,75;33;7;"Capital"
35;"Casado";"Ensino Médio";2;19,4;48;11;"Capital"
36;"Casado";"Superior";3;23,3;42;2;"Interior"
